City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,7.68,97,98,1.79,NZ,1720007214
1,kidal,18.4411,1.4078,38.25,29,30,7.51,ML,1720007215
2,palmer,42.1584,-72.3287,20.69,82,40,0.0,US,1720007140
3,qamdo,31.1667,97.2333,6.65,86,99,2.59,CN,1720007219
4,sao joao da barra,-21.6403,-41.0511,20.05,74,0,3.77,BR,1720007220
5,yellowknife,62.456,-114.3525,12.29,94,75,2.57,CA,1720007077
6,grytviken,-54.2811,-36.5092,-4.8,74,8,3.11,GS,1720007223
7,blackmans bay,-43.0167,147.3167,6.52,85,19,0.45,AU,1720007224
8,bredasdorp,-34.5322,20.0403,13.41,82,93,2.43,ZA,1720007225
9,moranbah,-22.0016,148.0466,15.34,80,9,4.62,AU,1720007226
10,farafangana,-22.8167,47.8333,21.5,75,80,3.23,MG,1720006965
11,college,64.8569,-147.8028,17.32,63,75,3.6,US,1720007229
12,tolanaro,-25.0319,46.9987,25.04,61,40,8.23,MG,1720007230
13,port-aux-francais,-49.35,70.2167,0.76,55,33,4.41,TF,1720007075
14,pindushi,62.9152,34.58,15.26,92,100,0.96,RU,1720007233
15,whakatane,-37.9585,176.9854,5.28,96,35,2.79,NZ,1720006971
16,malmberget,67.1753,20.6549,14.31,58,40,2.57,SE,1720007239
17,caconda,-13.7333,15.0667,26.89,16,5,2.42,AO,1720007242
18,georgetown,5.4112,100.3354,30.97,58,20,3.09,MY,1720007052
19,qaqortoq,60.7167,-46.0333,3.71,87,45,1.49,GL,1720007245
20,mansoa,12.0733,-15.3189,30.11,67,81,3.74,GW,1720007246
21,nieves,15.3274,120.9485,28.73,80,94,1.28,PH,1720007247
22,mejit,10.2753,170.8646,27.94,81,78,7.64,MH,1720007248
23,atafu village,-8.5421,-172.5159,29.09,77,7,9.02,TK,1720007250
24,ushuaia,-54.8,-68.3,1.81,80,75,1.54,AR,1720007038
25,whitecourt,54.1502,-115.6855,11.16,86,100,5.13,CA,1720007252
26,bethel,41.3712,-73.414,19.19,91,73,1.19,US,1720007254
27,albany,42.6001,-73.9662,19.36,79,80,1.75,US,1720007103
28,papatowai,-46.5619,169.4708,4.92,90,64,3.3,NZ,1720007256
29,belmonte,-15.8631,-38.8828,24.9,64,68,3.59,BR,1720007258
30,kargasok,59.0556,80.8572,16.09,82,100,3.77,RU,1720007259
31,iqaluit,63.7506,-68.5145,5.85,75,75,5.66,CA,1720007260
32,livadeia,38.435,22.8739,31.19,44,33,2.74,GR,1720007262
33,punta arenas,-53.15,-70.9167,-2.99,93,40,2.57,CL,1720007263
34,west island,-12.1568,96.8225,24.99,78,75,5.66,CC,1720007264
35,geraldton,-28.7667,114.6,11.23,76,0,3.6,AU,1720007096
36,la gi,10.6667,107.7833,27.2,85,100,3.83,VN,1720007267
37,olonkinbyen,70.9221,-8.7187,3.72,98,99,5.99,SJ,1720007268
38,adamstown,-25.066,-130.1015,20.55,61,100,5.48,PN,1720007270
39,vorgashor,67.5833,63.95,14.01,94,100,7.08,RU,1720007271
40,thompson,55.7435,-97.8558,10.09,100,75,1.03,CA,1720007272
41,katsuura,35.1333,140.3,26.01,95,100,4.64,JP,1720006995
42,vilyuchinsk,52.9306,158.4028,10.15,98,100,1.4,RU,1720007275
43,ribeira grande,38.5167,-28.7,24.32,73,20,7.15,PT,1720007277
44,freetown,8.484,-13.2299,26.84,78,75,3.6,SL,1720007279
45,pacasmayo,-7.4006,-79.5714,17.04,90,72,1.77,PE,1720007280
46,lospalos,-8.5186,127.0025,21.6,74,74,4.74,TL,1720007281
47,nova sintra,14.8667,-24.7167,21.4,80,63,4.47,CV,1720007283
48,aromashevo,56.8602,68.6375,21.42,60,14,3.6,RU,1720007284
49,karaton,-6.3424,106.1045,25.16,91,58,0.74,ID,1720007285
50,fort mcmurray,56.7268,-111.381,15.77,88,20,4.63,CA,1720007099
51,keflavik,64.0049,-22.5624,12.95,87,75,8.75,IS,1720007288
52,roma,43.2128,-75.4557,21.31,72,0,3.6,US,1720007289
53,tiksi,71.6872,128.8694,4.01,81,91,1.63,RU,1720007290
54,edinburgh of the seven seas,-37.0676,-12.3116,13.21,80,63,16.99,SH,1720007292
55,port alfred,-33.5906,26.891,20.66,71,100,2.12,ZA,1720007293
56,maceio,-9.6658,-35.7353,23.69,88,75,1.03,BR,1720007294
57,orlovskiy,46.8714,42.0592,34.38,14,89,6.41,RU,1720007295
58,palikir - national government center,6.9248,158.1611,25.41,94,75,1.54,FM,1720007297
59,huntington,38.4193,-82.4452,24.74,82,40,2.57,US,1720007298
60,silvan,38.1419,41.0081,34.16,16,5,3.67,TR,1720007300
61,hermanus,-34.4187,19.2345,16.0,82,100,9.31,ZA,1720007301
62,isafjordur,66.0755,-23.124,7.02,76,100,7.2,IS,1720007302
63,basi,26.8333,76.0333,36.19,91,100,7.23,IN,1720007303
64,mar del plata,-38.0023,-57.5575,7.27,93,75,4.12,AR,1720007139
65,zaragoza,41.6561,-0.8773,29.45,24,0,9.77,ES,1720007306
66,jamestown,42.097,-79.2353,21.42,72,20,4.63,US,1720007308
67,saipan,15.1355,145.701,29.39,79,20,3.6,MP,1720007309
68,mugia,43.1041,-9.2179,24.53,76,13,6.37,ES,1720007310
69,la passe,45.5549,-0.8967,22.13,71,93,5.99,FR,1720007311
70,antsiranana,-12.2787,49.2917,30.42,48,20,5.14,MG,1720007313
71,puerto natales,-51.7236,-72.4875,-5.53,95,97,0.85,CL,1720007115
72,hithadhoo,-0.6,73.0833,28.9,72,89,1.09,MV,1720007315
73,rongelap,11.1635,166.8941,28.27,72,71,8.38,MH,1720007316
74,ilulissat,69.2167,-51.1,4.01,87,75,2.06,GL,1720007318
